Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
1,Akmena-Danė - Klaipėdos VMS,6426,2025-06-12 12:00:00,106.1,,15.9
2,Akmena-Danė - Klaipėdos VMS,6426,2025-06-12 11:00:00,105.6,,15.7
3,Akmena-Danė - Kretingos VMS,5122,2025-06-12 11:00:00,105.8,2.05,15.0
4,Akmena-Danė - Kretingos VMS,5122,2025-06-12 12:00:00,105.8,2.05,15.4
5,Akmena - Paakmenio VMS,5223,2025-06-12 11:00:00,26.3,2.62,14.7
6,Akmena - Paakmenio VMS,5223,2025-06-12 12:00:00,26.5,2.64,14.8
7,Alnis - Paelnės VMS,5328,2025-06-12 12:00:00,101.0,,17.6
8,Alnis - Paelnės VMS,5328,2025-06-12 11:00:00,101.2,,17.7
9,Atmata - Rusnės VMS,5124,2025-06-12 11:00:00,209.2,223.14,16.7
10,Atmata - Rusnės VMS,5124,2025-06-12 12:00:00,207.7,219.30,16.8
11,Atmata - Uostadvario VMS,5128,2025-06-12 12:00:00,529.6,,
12,Atmata - Uostadvario VMS,5128,2025-06-12 11:00:00,529.5,,
13,Aunuva - Aunuvėnų VMS,5221,2025-06-12 11:00:00,99.9,0.18,14.4
14,Aunuva - Aunuvėnų VMS,5221,2025-06-12 12:00:00,100.0,0.18,14.5
15,Baltijos jūra - Palangos VMS,5925,2025-06-12 11:00:00,529.1,,14.5
16,Baltijos jūra - Palangos VMS,5925,2025-06-12 12:00:00,530.3,,14.6
17,Baluošas - Vaišniūnių VMS,5624,2025-06-12 11:00:00,107.4,,16.8
18,Baluošas - Vaišniūnių VMS,5624,2025-06-12 12:00:00,107.4,,16.7
19,Bartuva - Skuodo VMS,6121,2025-06-12 12:00:00,58.9,5.67,16.2
20,Bartuva - Skuodo VMS,6121,2025-06-12 11:00:00,58.7,5.65,16.0
21,Beržupis - Lynežerio VMS,5320,2025-06-12 11:00:00,12.9,,13.9
22,Beržupis - Lynežerio VMS,5320,2025-06-12 12:00:00,13.0,,13.7
23,Birvėta - Lazinkų VMS,5229,2025-06-12 12:00:00,321.4,,16.4
24,Birvėta - Lazinkų VMS,5229,2025-06-12 11:00:00,321.5,,16.4
25,Daugyvenė - Rimšonių VMS,5722,2025-06-12 12:00:00,151.3,,15.8
26,Daugyvenė - Rimšonių VMS,5722,2025-06-12 11:00:00,151.2,,15.8
27,Dysna - Kačergiškės VMS,5526,2025-06-12 12:00:00,141.2,,15.5
28,Dysna - Kačergiškės VMS,5526,2025-06-12 11:00:00,141.1,,15.5
29,Dubysa - Lyduvėnų VMS,5322,2025-06-12 11:00:00,126.4,7.65,15.3
30,Dubysa - Lyduvėnų VMS,5322,2025-06-12 12:00:00,127.2,7.80,15.4
31,Dubysa - Padubysio VMS,5326,2025-06-12 12:00:00,37.5,,18.2
32,Dubysa - Padubysio VMS,5326,2025-06-12 11:00:00,37.6,,18.2
33,Gėgė - Plaškių VMS,5923,2025-06-12 11:00:00,190.5,,17.3
34,Gėgė - Plaškių VMS,5923,2025-06-12 12:00:00,191.4,,17.4
35,Girutiškis - Rušiškių VMS,5723,2025-06-12 12:00:00,77.2,,16.4
36,Girutiškis - Rušiškių VMS,5723,2025-06-12 11:00:00,77.2,,16.4
37,Yslykis - Kyburių VMS,6422,2025-06-12 11:00:00,94.9,0.22,14.7
38,Jūra - Pajūrio VMS,5921,2025-06-12 11:00:00,133.3,,16.8
39,Jūra - Pajūrio VMS,5921,2025-06-12 12:00:00,133.2,,16.8
